path,scan_root,depth,size_bytes,size_human,category,risk
C:\Program Files (x86)\ExpressVPN\expressvpnd,C:\Program Files (x86),2,38994515,37.19 MB,directory,manual_review
C:\Program Files\Zotero\app,C:\Program Files,2,38576724,36.79 MB,directory,manual_review
C:\Program Files\Reference Assemblies\Microsoft,C:\Program Files,2,37180649,35.46 MB,directory,manual_review
C:\Program Files\Reference Assemblies,C:\Program Files,1,37180649,35.46 MB,directory,manual_review
C:\Program Files (x86)\Common Files\Steam,C:\Program Files (x86),2,35893750,34.23 MB,directory,manual_review
C:\Program Files (x86)\HP\HPX Support,C:\Program Files (x86),2,35617637,33.97 MB,directory,manual_review
C:\Program Files (x86)\Steam\clientui,C:\Program Files (x86),2,34261598,32.67 MB,directory,manual_review
C:\Program Files\Common Files\Adobe,C:\Program Files,2,33082727,31.55 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SQL Server,C:\Program Files (x86),1,30720657,29.30 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\art,C:\Program Files,2,30649777,29.23 MB,directory,manual_review
C:\Program Files (x86)\Common Files\Microsoft Shared,C:\Program Files (x86),2,29725504,28.35 MB,directory,manual_review
C:\Program Files\PowerToys\KeyboardManagerEditor,C:\Program Files,2,27417912,26.15 MB,directory,manual_review
C:\Program Files (x86)\Common Files\Adobe,C:\Program Files (x86),2,26264678,25.05 MB,directory,manual_review
C:\Program Files (x86)\Steam\win64,C:\Program Files (x86),2,25318592,24.15 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs\Windows Kits,C:\Program Files (x86),2,23292900,22.21 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\saves,C:\Program Files,2,22998049,21.93 MB,directory,manual_review
C:\Program Files (x86)\Steam\userdata,C:\Program Files (x86),2,22546263,21.50 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SQL Server\170,C:\Program Files (x86),2,21449844,20.46 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs\Windows,C:\Program Files (x86),2,20864737,19.90 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\extensions,C:\Program Files,2,20513603,19.56 MB,directory,manual_review
C:\Program Files (x86)\ExpressVPN\expressvpn-ui,C:\Program Files (x86),2,20085534,19.16 MB,directory,manual_review
C:\Program Files\Wireshark\snmp,C:\Program Files,2,18862247,17.99 MB,directory,manual_review
C:\Program Files\Notepad++,C:\Program Files,1,18675061,17.81 MB,directory,manual_review
C:\Program Files (x86)\Steam\appcache,C:\Program Files (x86),2,18637620,17.77 MB,directory,manual_review
C:\Program Files (x86)\PostgreSQL\Npgsql,C:\Program Files (x86),2,16750402,15.97 MB,directory,manual_review
C:\Program Files (x86)\Rockstar Games\Social Club,C:\Program Files (x86),2,16712445,15.94 MB,directory,manual_review
C:\Program Files (x86)\Rockstar Games,C:\Program Files (x86),1,16712445,15.94 MB,directory,manual_review
C:\Program Files\Cisco Packet Tracer 8.2.2\sounds,C:\Program Files,2,16289426,15.53 MB,directory,manual_review
C:\Program Files\Microsoft Update Health Tools,C:\Program Files,1,15588584,14.87 MB,directory,manual_review
C:\Program Files\edb\mtk,C:\Program Files,2,15475745,14.76 MB,directory,manual_review
C:\Program Files\Tesseract-OCR\tessdata,C:\Program Files,2,15109125,14.41 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs\ClickOnce Bootstrapper,C:\Program Files (x86),2,14558003,13.88 MB,directory,manual_review
C:\Program Files (x86)\Microsoft SDKs\Portable,C:\Program Files (x86),2,14531174,13.86 MB,directory,manual_review
C:\Program Files\PowerToys\RunPlugins,C:\Program Files,2,14105403,13.45 MB,directory,manual_review
C:\Program Files\HP\HP Privacy Settings,C:\Program Files,2,13875736,13.23 MB,directory,manual_review
C:\Program Files (x86)\Steam\public,C:\Program Files (x86),2,13718144,13.08 MB,directory,manual_review
C:\Program Files\Wireshark\Wireshark User's Guide,C:\Program Files,2,13687586,13.05 MB,directory,manual_review
C:\Program Files\Microsoft Update Health Tools\Logs,C:\Program Files,2,13631488,13.00 MB,directory,manual_review
C:\Program Files (x86)\Microsoft.NET,C:\Program Files (x86),1,13604839,12.97 MB,directory,manual_review
C:\Program Files\NVIDIA Corporation\NvTelemetry,C:\Program Files,2,13157322,12.55 MB,directory,manual_review
C:\Program Files\PowerToys\Assets,C:\Program Files,2,13091857,12.49 MB,directory,manual_review
C:\Program Files (x86)\Steam\steam,C:\Program Files (x86),2,13081354,12.48 MB,directory,manual_review
C:\Program Files\nodejs\node_modules,C:\Program Files,2,12895695,12.30 MB,developer_cache,manual_review
C:\Program Files\Wireshark\translations,C:\Program Files,2,12448678,11.87 MB,directory,manual_review
